kind,dlinrt_name,dlinrt_id,company,status,srn,certificate_numbers,notified_bodies,legislation,risk_class,basic_udi,emdn_code,eudamed_name,candidate_count,note,query_url
company,NeuralRad,neuralrad,NeuralRad,not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=NeuralRad
company,AI Medical,ai-medical,AI Medical,ambiguous,CN-MF-000033681,JP25/00000098 | G15 116811 0003 | G15 062575 0088 | DZ 2421775-1 | DZ 2028977-1,1639 | 0123 | 0197,quality-management-system | quality-assurance,,,,"ZHEJIANG BAITAI MEDICAL TECHNOLOGY CO.LTD,",20,Manufacturer · CN · active; 20 matching actors,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=AI+Medical
company,Carina AI,carina-ai,Carina AI,not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Carina+AI
company,Coreline Soft Co,coreline-soft,Coreline Soft Co,confirmed,KR-MF-000011555,,,,,,,"Coreline Soft Co., Ltd.",1,Manufacturer · KR · active; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Coreline+Soft+Co
company,Ever Fortune AI,everfortune-ai,Ever Fortune AI,not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Ever+Fortune+AI
company,Hura Imaging,hura-imaging,Hura Imaging,not-registered,,,,,,,,,0,no registered actor returned for this name (registration mandatory from 2026-05-28); 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Hura+Imaging
company,Limbus AI,limbus-ai,Limbus AI,confirmed,CA-MF-000025514,21M00123SUP01,1912,quality-management-system,,,,Limbus AI Inc.,1,Manufacturer · CA · active,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Limbus+AI
company,Manteia,manteia,Manteia,confirmed,CN-MF-000023911,28620166008,2862,quality-management-system,,,,"Manteia Technologies Co., Ltd.",1,Manufacturer · CN · active,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Manteia
company,MIM Software,mim-software,MIM Software,ambiguous,US-MF-000007063,,,,,,,MIM Software Inc.,2,Manufacturer · US · active; 2 matching actors; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=MIM+Software
company,Mirada Medical,mirada-medical,Mirada Medical,ambiguous,GB-MF-000008724,,,,,,,Mirada Medical Limited,2,Manufacturer · UK · active; 2 matching actors; 0 certificates in EUDAMED,https://ec.europa.eu/tools/eudamed/api/eos?page=0&pageSize=20&size=20&languageIso2Code=en&name=Mirada+Medical
