branch,branch_term,cnd_code,cnd_term,match_status,catalogue_product_id,catalogue_product_name,trade_name,device_name,device_model,manufacturer_name,manufacturer_srn,risk_class,legislation,device_status,basic_udi,primary_di,medical_purpose,certificate_numbers,notified_bodies,screening_reason,query_url,detail_url
Z1101,RADIOTHERAPY AND RADIOSURGERY INSTRUMENTS,Z11010282,INSTRUMENTS FOR RADIOTHERAPY SIMULATION - SOFTWARE ACCESSORIES,catalogue-match,limbus-contour,Limbus Contour,,,,Limbus AI Inc.,CA-MF-000025514,class-iib,,on-the-market,6280113821608Q,00628011382184,,,,matches existing DLinRT product Limbus Contour,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=300&size=300&languageIso2Code=en&cndCode=Z11010282,https://ec.europa.eu/tools/eudamed/api/devices/basicUdiData/udiDiData/77e1dd1f-1ba8-458b-be11-7460db749191
Z1101,RADIOTHERAPY AND RADIOSURGERY INSTRUMENTS,Z11010282,INSTRUMENTS FOR RADIOTHERAPY SIMULATION - SOFTWARE ACCESSORIES,catalogue-match,limbus-contour,Limbus Contour,Limbus Contour,,,Limbus AI Inc.,CA-MF-000025514,class-i,,no-longer-on-the-market,B-00628011382177,00628011382177,,,,matches existing DLinRT product Limbus Contour,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=300&size=300&languageIso2Code=en&cndCode=Z11010282,https://ec.europa.eu/tools/eudamed/api/devices/basicUdiData/udiDiData/40b5f4c8-b853-4a37-be22-0fb9a38b0bfc
Z1101,RADIOTHERAPY AND RADIOSURGERY INSTRUMENTS,Z11010492,RADIOTHERAPY TREATMENT PLANNING INSTRUMENTS - MEDICAL DEVICE SOFTWARE,catalogue-match,manteia-accucontour,AccuContour,AccuContour,,,"Manteia Technologies Co., Ltd.",CN-MF-000023911,class-iia,,on-the-market,697312740AccuContourXE,06973127400029,,,,matches existing DLinRT product AccuContour,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=300&size=300&languageIso2Code=en&cndCode=Z11010492,https://ec.europa.eu/tools/eudamed/api/devices/basicUdiData/udiDiData/8c078f7e-ad37-4aa4-96bd-f6687ccdbfef
Z1101,RADIOTHERAPY AND RADIOSURGERY INSTRUMENTS,Z11010492,RADIOTHERAPY TREATMENT PLANNING INSTRUMENTS - MEDICAL DEVICE SOFTWARE,catalogue-match,manteia-accucontour,AccuContour,AccuContour-Lite,,,"Manteia Technologies Co., Ltd.",CN-MF-000023911,class-iia,,on-the-market,697312740AccuContourLTQ3,06973127400050,,,,matches existing DLinRT product AccuContour,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=300&size=300&languageIso2Code=en&cndCode=Z11010492,https://ec.europa.eu/tools/eudamed/api/devices/basicUdiData/udiDiData/846c5234-23a9-4fb8-b146-5d64b35e2921
Z1101,RADIOTHERAPY AND RADIOSURGERY INSTRUMENTS,Z11010401,RADIOTHERAPY TREATMENT PLANNING SYSTEMS,catalogue-match,manteia-mozi,MOZI TPS,MOZI TPS,,,"Manteia Technologies Co., Ltd.",CN-MF-000023911,class-iib,,on-the-market,697312740MOZITPS77,06973127400081,,,,matches existing DLinRT product MOZI TPS,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=300&size=300&languageIso2Code=en&cndCode=Z11010401,https://ec.europa.eu/tools/eudamed/api/devices/basicUdiData/udiDiData/16cc39ca-1845-4f88-9d77-fe1a5882122a
Z1101,RADIOTHERAPY AND RADIOSURGERY INSTRUMENTS,Z11010292,INSTRUMENTS FOR RADIOTHERAPY SIMULATION - MEDICAL DEVICE SOFTWARE,catalogue-match,mvision-ai-contouring,Contour+,Contour+ (MVision AI Segmentation),,,MVision AI Oy,FI-MF-000013082,class-iia,,on-the-market,64298300642AISEG1.2SZ,06429830064206,,,,matches existing DLinRT product Contour+,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=300&size=300&languageIso2Code=en&cndCode=Z11010292,https://ec.europa.eu/tools/eudamed/api/devices/basicUdiData/udiDiData/4c999dd0-7b51-4875-b9a5-7ddab5a818c3
Z1101,RADIOTHERAPY AND RADIOSURGERY INSTRUMENTS,Z11010292,INSTRUMENTS FOR RADIOTHERAPY SIMULATION - MEDICAL DEVICE SOFTWARE,catalogue-match,mvision-dose-plus,Dose+,Dose+,,,MVision AI Oy,FI-MF-000013082,class-iia,,on-the-market,642983006423Dose1.0DH,06429830064237,,,,matches existing DLinRT product Dose+,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=300&size=300&languageIso2Code=en&cndCode=Z11010292,https://ec.europa.eu/tools/eudamed/api/devices/basicUdiData/udiDiData/c2f9d975-a3df-4c4c-b43c-a8144f4e8fbf
Z1101,RADIOTHERAPY AND RADIOSURGERY INSTRUMENTS,Z11010292,INSTRUMENTS FOR RADIOTHERAPY SIMULATION - MEDICAL DEVICE SOFTWARE,catalogue-match,mvision-ai-contouring,Contour+,MVision Segmentation Service,,,MVision AI Oy,FI-MF-000013082,class-i,,on-the-market,B-06429830064206,06429830064206,,,,matches existing DLinRT product Contour+,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=300&size=300&languageIso2Code=en&cndCode=Z11010292,https://ec.europa.eu/tools/eudamed/api/devices/basicUdiData/udiDiData/e0aa99ed-6215-4127-b896-8164b72fa0a0
Z1101,RADIOTHERAPY AND RADIOSURGERY INSTRUMENTS,Z11010292,INSTRUMENTS FOR RADIOTHERAPY SIMULATION - MEDICAL DEVICE SOFTWARE,catalogue-match,mvision-ai-workspace-plus,Workspace+,Workspace+,,,MVision AI Oy,FI-MF-000013082,class-iia,,on-the-market,642983006424WS1.0ZQ,06429830064244,,,,matches existing DLinRT product Workspace+,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=300&size=300&languageIso2Code=en&cndCode=Z11010292,https://ec.europa.eu/tools/eudamed/api/devices/basicUdiData/udiDiData/d9c8c738-2aba-4076-b8b6-3c703868a455
Z1101,RADIOTHERAPY AND RADIOSURGERY INSTRUMENTS,Z11010482,RADIOTHERAPY TREATMENT PLANNING INSTRUMENTS - SOFTWARE ACCESSORIES,catalogue-match,spectronic-mriplanner,MRI Planner,MRI Planner,,,Spectronic Medical AB,SE-MF-000024476,class-iib,,on-the-market,B-07350097430017,07350097430017,,,,matches existing DLinRT product MRI Planner,https://ec.europa.eu/tools/eudamed/api/devices/udiDiData?page=0&pageSize=300&size=300&languageIso2Code=en&cndCode=Z11010482,https://ec.europa.eu/tools/eudamed/api/devices/basicUdiData/udiDiData/ee75f243-921f-45ae-bb99-bdea40bc9a24
